hi|hello 


If you really think about Marketing, what is the biggest challenge?|The question is, how do i identify the target segment that needs our product and pitch our value to them. Many marketers squander lots of money pitching products to segments that will never buy from them. Reason, it is very difficult to achieve Personalised or Individualised Marketing. That is, instead of focusing on segments, focus on a group of people who will definitely buy from you based on your message.Now, with data being generated everywhere on buying habits of customers, their preferences, lifestyle, income etc, there is immense potential to profile customers. So, if you have an AI algorithm that analyzes this massive data and adaptively learns, it can predict with very good confidence, over time, as to who will be a potential customer, thus reducing marketing costs by focusing on individual customers instead of segments.As more and more data is consumed by AI, including the customers who bought or did not buy the product, AI become better with richer data and helps marketers target customers with precision

Can I become a mathematician and a doctor at the same time?|Yes ofcourse,. Many doctors are now realizing the power of clinical research, that Is, working as a doctor and researcher in a clinical setting (Hospital), thus closing the gap between research and its impact on patients.You can do your PhD as a doctor on Computational Biology (Bioinformatics) which focuses on many computer intensive areas such as Genetics, genomics and Next Gen Sequencing which require you to work on mathematical models.You can also be involved in Clinical Trials of new drugs where you test the efficacy of new drugs on volunteers and use statistics and mathematical models to uncover positive and negative effects of drugs.There is no stopping a doctor from pursuing research, because it only strengthens your foundations in pushing the boundaries of healthcare innovation.

Are machine learning jobs still in demand in 2020?|Yes, Machine Learning will be a sought after area in 2020 and later. But we need to understand the hype factor as well. Just because there is a huge demand for ML there are startups springing up everywhere claiming to apply ML .So let me give you a few examples of sectors where ML will play a major role
Manufacturing – With decreasing lead times and aggressive GTM (Go to Market) strategies, firms are applying ML to identify probable failures in advance and fix them instead of suffering downtime. This is Predictive Analytics
Healthcare – The healthcare sector is using advanced ML and Deep Learning techniques to identify tumors based on medical imaging. This is going to be a gamechanger to accurately identify the signature profiles of Covid, Cancer etc to get to an early diagnosis.
Retail – Big retailers like Amazon are using object and image recognition techniques to prevent malicious content from being uploaded by retailers. These are done through ML techniques based on identifying abnormal patterns and images. As more and more people buy on the web ML becomes a powerful tool to make the buying experience safer.
Financial/Credit Card Fraud – Banks and Finance companies use ML to identify abnormal patterns based on transactions and account behaviour to flag fraud.
As you can see these are all legitimate and impactful applications of ML in addressing problems at scale that humans cannot address. There are many such use cases in other sectors that need ML. But we need to be cautious in not overselling the concept of ML for frivolous applications

Which universities in India offer a bachelor’s in science in computers specialized in artificial intelligence?|You will not find a Bachelors degree with a specialisation in AI because a Bachelors degree is meant to be a broad and foundational qualification, to be able to explore what you like and dont like. So it would be a good idea to do a Bachelors in either Computer Science or Mathematics if you want to eventually get into AI.You can then follow it up with a specialisation in AI at the Masters level where the focus is purely on AI.

What is AI?|Let us say a question is posed to a Human and a Machine, “Can you provide a rough location of the country Israel?”.Now lets look at the answers by a human and a machine.
Machine – The machine uses geographical data to get the coordinates of Israel in terms of Latitude and Longitude and gives the precise result in a few seconds.
Human – The human brain, on the other hand, does not have access to coordinates unlike a machine. And let us assume that the human has pretty much no idea as to where Israel is. But having seen news on the war between Israel and Palestine and understanding that Palestine is an Arab state, the human understands that Israel must share a border with Palestine, an Arab state and hence must be situated in Middle -East.
So while the machine is very fast and accurate, the human uses cognitive logic to make connections and discover the location. This is what AI needs to be able to do to replicate the human brain. A machine that works like the brain and that can make non-linear connections to uncover new insights.Let us take one more example.As kids, we all learn the english alphabets as the first step in our long and tedious educational journey. We are taught letters “a,b,c….z” untill we learn to recognize them anywhere and everywhere.Now, if a machine were shown the same alphabets, lets say, “a”, would it recognize “a” everytime? Not really ! As long as the “a” is written in exactly the same way the machine was originally taught, the machine would recognize it. However if the shape of “a” is a little more curved or straight the machine would fail to recognize it.Humans, on the other hand, learn to recognize any alphabet in any shape as long as it fairly resembles the alphabet. The human doesnt need an exact match in shape. This kind of learning comes from experiential learning in which the brain adapts itself to recognize things similar to what it has seen earlier, which machines cannot do.This is where AI needs to be if it were to be successful in replicating the human brain, not an easy task by any stretch

Now to the next question, how will AI impact the future?|It will take AI a very long time to replicate what the human brain does. And whether AI will accomplish that itself is a big question.But over the next few years, a lot of mundane, routine and monotonous, non-cognitive jobs will be taken over by AI. Manufacturing jobs, service level jobs, dangerous jobs and labor intensive jobs will be slowly taken over.On the other hand, high level jobs that require creative thinking, negotiation, leadership, artistic talent, innovation, problem solving, analytical skills, critical thinking skills, interpersonal skills will always require humans.

Now coming to the last question, how will my career be affected by AI?|Let us look at a few careers that will not affected by AI in the near future. Salesperson, pilot or a Designer. If you look at each of these careers they have a unique characteristic related to humans, cognitive thinking which is negotiation for a salesman, situational awareness for a Pilot and creative thinking for a designer. These are all highly cognitive skills and connot be replaced by AI.So for students, pick each potential career you like and try to evaluate if there are any unique/cognitive characteristics of that career that give you an advantage over a machine. Always pick a career that places a very high importance on an individual’s capabilities and that will ensure you are safe.

How can big data be leveraged with AI technology?|Let me give you a simple example.Let us assume you want to build an AI based machine that can replace a physician with 20 years experience. That is, an AI machine that can make a diagnosis and prescribe a treatment in the same way that a physician with 20 years experience can do.
Now lets assume the physician to be replaced has 20 years experience and the physician saw 50 patients everyday for 20 years. So, the physician saw 50*365*20 patients, which 365000 patients in total. This is what we call the physician’s experience. For every patient the physician looks at a lot of contextual data about the patient (history, age, illness, gender etc) as well as accesses medical content to refer as needed to make a diagnosis that he/she isnt sure of. This is what we call “20 Years of Experience” which is very difficult to replicate. And then there is the academic knowledge of the Physician from his education.Now if we want to build a machine to replace the physician, we need to feed the machine at least the data of 365000 patients that the physician saw or the minimum number of cases that cover a wide range of diagnosis scenarios and combinations, as well as the details of diagnosis for each patient including the contextual details of each patient and any external content used for reference. That is, we need to feed the machine 20 years worth of data (what we call “Big Data”, which includes all the data used by the physician in each case, including structured, unstructured and semi-structured data to make a diagnosis) and train the machine, based on past data and results, to make the right prediction with a reasonable confidence. This is called Experiential Learning based on Big Data. This data for 20 years could run into TerraBytes and once the machine has learned, it can make reasonable predictions similar to a physician with 20 years experience.This is the concept that AI works on. The more the data or the cases it is exposed to, the better the model is. So in theory, you could feed the model with cases handled by several physicians and create a richer model. But the key difference with AI is, you are not telling the machine to categorise. You are training it to behave like a human and think like a human, which is purely unsupervised learning, and go beyond, by identifying patterns never uncovered before. When a machine gets access to data equivalent to the entire experience of a senior physician, which is what we call “Big data”, the assumption is that the machine makes lesser mistakes and is able to detect new patterns that probably even a well experienced physician might miss. Since the processing power of a machine is much more complex and scalable, several non-linear relationships might be uncovered by the machine, like a relationship between Covid and BP !

Should I pursue a career in data science or quantum computing?|It depends on whether you like theoretical or practical work.Quantum computing is abstract but has profound implications on the future of computing. What researchers are doing in quantum computing today is going to make a big impact on addressing big problems in Next Generation Sequencing, Robotics and Deep Learning, any technology that needs almost infinite resources to solve real problems that require extreme computation.Data Science, on the other hand, lets you see results. You will work on uncovering trends in the data. You will create and tell stories around trends and help predict a model for the future based on the historical trends. Its a lot more fun because the results of your analysis can be seen and you can iteratively work on the feedback. Data science applies to every vertical that collects data, so you can work across several verticals because you are a data expert, you understand the universal data language.The industry needs more Data Scientists, but research needs more quantum scientists because advances in quantum computing will provide a better infrastructure for data science and other computationally intensive problems.


How do you know that political science is right for you?|A career in Political Science requires a great level of interest and some very specific skills.If you like reading the newspapers and knowing about world events then you have the interest. That is the easy part.The tough part is the skill. Political Science, unlike other careers, requires quite a bit of Critical Thinking skills. When you look at political developments around the world, lots of trade deals are struck, military agreements are signed and diplomatic treaties are discussed. A political scientist needs to be able to put them in perspective by trying the understand how these developments affect different countries and the people. And this is not a simple issue.For example, lets say a Uranium trade deal is signed between India and Australia where Australia agrees to supply unlimited Uranium to India. A political analyst needs to be able to evaluate how this deal will positively and negatively affect India and what would the effect of that deal on countries like Pakistan or China and how are they likely to react.As you can see, your analysis will require fantastic writing and communication skills along with critical reasoning. In order to do a proper thought provoking analysis you need to know that current state of affairs in different countries and how world developments affect their functioning.You need to put things in “context” and do your analysis and your thinking has to be very strategic. Its like trying to slice and dice the language of a deal and try to infer the pros and cons. These skills are very very rare but very useful in several careers like law, policy etc. Its also called “Situational Awareness”, the ability to connect seemingly unrelated things into a cohesively convincing framework.This is related to the role of a political analyst.A political analyst could be employed by media companies or government or NGOs to analyze different political scenarios in context.political scientist, on the other hand, works with the government and diplomats to craft political, international and diplomatic agreements to meet well defined objectives of growth or trade or social development. There are many such objectives.Taking the Australian example above, Australia would also employ a Political Scientist to advise them on various diplomatic strategies to engage with India or other countries. The scientist would analyze the impact of supplying Uranium to India and the benefits that Australia could get from India in exchange for the Uranium deal. These kind of agreements need thorogh analysis.Though the roles of the political analyst and political scientist differ, they share the same skills, which is critical reasoning and analysis.The best way to know if you will like this career is to read the papers and follow news regularly and see if there are certain areas that you like and then try to write a blog on those areas based on current developments. This will give you an idea of your interest and skills.

How do I choose a career path/education path when I don’t really have a passion for anything?|Yes it is not easy. Infact, many of the students who did go on to pursue careers of their interest were fortunate enough to meet mentors . Some others followed their parent’s footsteps.For those who have no clue, let me suggest a few ways. If you cannot select something that you like, try to exclude things that you dislike strongly. For example, if you hate sitting in a desk all day or attending meetings, dont go for IT (software).If you dont have too much patience and are not too people friendly dont opt for becoming a doctor.SO try to exclude careers that you dont like based on interest and skills.If you love travelling and love nature, think of becoming a Conservationist or Wildlife Biologist. If you are an outgoing person , you can get into Sales or Publicist careers.To have a successful career one needs to focus on the following :Longevity – A career lasts for almost 40 years from the time a student graduates from college at 21 to retirement age around 60, almost 39 years. A successful career is like a marathon run. If your goal is only to reach the end you are missing the point. Marathoners enjoy their run because they cherish the journey and in the process reach the destination. So start trying to identify what kind of activities you like to do. These activities are not hobbies but what we call latent or hidden interests that stay with you from childhood to your later years. The more you like an activity the more inclined you are to stick to it for a longer time like a career. Remember that successful careers last long because of interest.
Skill – While longevity is important we all need to understand that the world is competitive. Any career requires a degree of skill to compete. Skills are of two types – 1) Innate or natural and 2) Acquired. For example a naturally gifted debater has potential to become a good lawyer due to innate skills of debating. However the student would also need a professional degree in Law where they are taught about cases, arguments, drafting and mooting in courts. These are acquired skills. So students need to evaluate the areas in which they are naturally gifted and hone their skills through education (Acquired Skills) . Remember , a Diamond is a stone that needs treatment before it shines. Identify your natural skills like writing, sketching, storytelling etc because a career based on those skills will give you the edge in this competitive world
Benefit to Society – A student might be very good in solving mathematics problems. However if solving those problems have no impact in the practical world those skills cannot be put to use and are worthless. However if the student can use their skill to solve problems that the world faces (Pollution, Climate, Insurance, Health etc) the world values those skills and there is a market for those skills. Always try to evaluate to see what value you can bring to the world by putting your skills to use. The more impact you make with your skills the more marketable you are.Vision – When you have taken into account your interests (longevity), skills and benefit to society you gradually start building a vision or bigger picture of what you want to do and breaking it down into a short-term and long-term plan. A vision, simply put, is a direction in which a student wants to take his career. As we all know today’s world is extremely fluid and we all want to be flexible to change course slightly though the direction that we want to go in remains pretty much unchanged. This direction or vision is defined by the above 3 attributes. Money – And finally the most important attribute that we all need to survive in this world – money. A lot of students make the mistake of asking “What career should i pick to make a lot of money?” . That's the wrong question. Instead, adopt the above approach and you will see that money follows. Money is the byproduct of a good vision which again a byproduct of the first three attributes. To give you an example, lets say you have a lot of interest in food and cooking (interest) and you are good in Chemistry (Skill). You can study Food Science and become a Food Technologist. Your Vision is to create new food that is healthy and tasty (Benefit to Society). You can see how all these attributes come together to form a Vision .

What should I do with my future?|I’m currently studying in class 12th and have opted biology as my stream. Now I’m entirely lost and confused. What career path should I choose? In India it can be very difficult for a 12th student to shut down all the noise around you. Everyone will point you towards one career, become a doctor. Biology means doctor and doctor means Biology. In most western countries people make decisions around their career at 21 or higher, but in India its much earlier. So its normal to be confused about Biology at 17.
Clinical – Doctor, Surgeon, Physio, Speciality, Public Health
Research – Drug Research, Genetics, Bioinformatics, Astrobiology
Conservation & Wildlife Biology,
Biotechnology & Biomedical Sciences/Engineering
Each of the above areas has its pros and cons. It depends on your interests and where you believe you fit in. Clinical careers are the most in demand but less interesting relative to research careers. Research careers are very demanding but interesting because you will be working on something the world has never seen. And if you crack the puzzle , it inspires you to solve a bigger problem. Conservation & Wildlife Biologists track animal behaviour and their environments. They are also called Ecologists. This career is critical to conservation of endangered species. Biotechnology/Biomedical is a tremendously exciting career which uses the workings of nature (biology) to engineer new products such as Bio-fuels, Gene edited plants, Artificial organs and several other products that replicate nature.
 
Why do they think driving a Two Wheeler is better than flying a Fighter Aircraft?|Its not easy flying a Fighter. Its certainly risky, it requires tremendous skills and it also requires a sharp mind. Very few, one in a million fly a fighter. On the other hand, driving a two wheeler is less risky, its easy and its not bad even if you are one in two people. In fact probably driving a two wheeler pays more than being a fighter pilot. Never mind that you trained to fly, but even driving a two wheeler is driving right? So what, i am still driving, that is, on the ground. That defines our mindset. We don't mind driving an Ola if it pays more. However we forget how important engineering is to our economy, to our job satisfaction and to the entire world we live in. We forget that IT is only a secondary occupation that just supports other primary occupations. IT can never make things, it will always be a software and virtual !To make it worse our education system has glamourised IT by making software the No 1 choice in Engineering choices. Top students are handed over Computer science and the next level selects Electronics or Mechanical. So what's the message conveyed here? Computers is better than Mechanical. Is that what we want our students to learn? That one stream is better than the other? This year my niece wanted to take chemical engineering in ICT and she got the seat easily because the competition is for IT. What about metallurgy? Oh, its the last degree chosen because its of no use in real life right? Metallurgy and not useful? Are you kidding me? That's the respect we give to engineering. But we still want to travel in safe Aircrafts (marvels of Metallurgy), fastest cars (marvels of Mechanical engineering), live in structurally strong houses (Civil eng) and use the latest and most powerful computers (Electrical engineering) but let someone else study them because it is tough. But remember this, IT can survive with mediocre people because its just software. But streams like Metallurgy, Mechanical, Electronics need talented engineers because they build things used by real people. These streams cannot afford to have mediocre people building things. To be frank we are a generation that takes the easy way out knowing there will be a few rare people who will take the tough and challenging route, Core Engineering ! The day we realise how satisfying the tough route is, we will get more students flying in the sky and really enjoying what they do.

How can an engineering student get core branches in India considering most of companies are software based?|That's a very good question and i am happy you asked. Everyone who does engineering takes the easy way out, go for IT !Its not easy getting a core engineering job. Employers look for experience and freshers don't have experience unless they get a job.
Start thinking about this from the middle of your second year in engineering. This is the time to explore sub-specialization in your chosen field. Lets say you choose mechanical. Try to read a lot about areas with mech – 1) Automobile or 2) Environmental or 3) Biomechanical or 4) Robotics. Try to secure an internship in each of these areas on a rotational basis. Its not easy getting an internship. If you want to get into automobiles, get into vehicle building competitions like SAEBAJA where you will build an actual vehicle. You get loads of experience.
If it is the other areas, get to LinkedIn and shortlist companies working in your areas of choice and contact via Email. Introduce yourself, explain your interest, give an overview of your vision and state that you want to learn and would like an internships. If you send 100 emails you are sure to get atleast 5–10 responses and one internship opportunity. Lots of IITs and IISC offer fellowships for candidates. After doing 2–3 internships, by end of 4th year you should be reasonable sure of what you want to do. With your internship it is easier to get a core job or apply for Masters. With several internships under your belt, even if few core companies come to campus you have the best chance because you have real experience and it is rated much higher by employers than marks assuming your scores are decent. You can even apply outside.

How can a Computer Science student help in Environmental Engineering?|Computer Science is a multi-Disciplinary field. What that means is, it uses data to address challenges in other fields.
Weather Modeling – Scientists build simulated models to predict and forecast weather based on Maths and Physics using Computer Algorithms.
Remote Sensing – Many Researchers are using Remote Sensing tools to help farmers with rain patterns and soil moisture analysis. These computer models tell farmers when to add water to soil based on computer data thus saving water.
Air Quality Monitoring – Several Scientists are working on building low cost and robust Air Quality monitoring tools which use power of computers to quantitatively estimate the extent of pollution based on chemical composition of Air.
Oil Spills – As we are all aware one of the biggest threats to Marine life is the Oil Spills due to offshore oil extraction. Many gas companies employ Geo-Statisticians to predict the path of oil spills once they occur to take quick corrective action

What are job options after doing be from biotechnology?|The name itself has the partial answer. Technology replicating Biology. We all know that Biology is all natural phenomena involving nature. So if we have to build something artificial that can replicate nature thats Biotechnology.Manufacturing Biofuels, inventing new vaccines or manufacturing new drugs to cure Cancer, Diabetes etc are all marvels of Biotechnology.This field has tremendous potential because researchers have barely scratched the surface of what is possible. With Global Warming being a grim reality we need Biotechnologists to eliminate fossil fuel and find new ways of manufacturing biofuels.Biotechnology even involves replicating how our human body functions. Some researchers are even working on extracting Haemoglobin from plant extracts. This could solve several disorders lika Anaemia.

What are the chances of an average student getting in ETH Zurich?|Ok i will tell you my story.I consider myself an average or slightly above average student as far as marks are concerned. I didnt do very well in my Engineering final year. But down the line i got a really strong motivation to do an MBA because i liked the big picture. I wrote GMAT in 2000 (long back ) and got a decent score of 670. Though i applied to several top schools (Sloan, Chicago, Wharton, Stern etc) i got waitlisted only at NYU Stern.They gave me a a deadline to convince them why i should be admitted. Having lost all hopes, i decided to give this one last try. I sat down for a few days and really thought about why i needed this degree , how it would help me and what my vision was. I wrote my mind honestly on 2 pages of paper and faxed it !I had no hopes of getting it until i got an admission letter a week letter informing me that i got into Stern!
Moral of the story . You can be average in terms of marks. But you have to have an exceptional vision in terms of what you want to do with the degree. Thats what US and European Universities look for, a solid personal statement. It tells them what you already know and what you want to learn to get to where you want to go !Many of us lack in that area because we are all groping in the dark. Remember , from the perspective of the University, they want students who go on to achieve something and bring name to the University. You need a vision for that!

After an MSc in computer science, can we do a job as a data scientist?|Being a Data Scientist doesnt require any specific qualification . There are MBAs, scientists and bachelors degree holders who have become data scientists because they had strong logical thinking and had a very solid background in statistics and programming backed by real experience.The only thing needed is real world experience. Join as an intern in a company and work for 6 months with data science teams and understand the big picture. Learn R programming on the side since that is the primary tool.

What is a good undergraduate course (after 12th) in India for someone who is interested to learn about the brain?|Typically an undergraduate course is never specialised. It gives you a broad foundation for a reason so you can always change in your masters.So if you want to pursue specialization in Brain (Neuro) get a basic degree in Biotechnology or Biochemistry or Chemistry or Biology and then do an integrated PhD in Neuroscience at NBRC (National Brain Research Center). You can also try ta TIFR or NCBS.If you want to focus on Brain Rhythms (EEG), you can also do a B.E in Electrical and Electronics and then go for neurotechnology or neuroscience to explore the electrical impulses of the brain.

Which engineering branch requirement is more in today’s modern world?|Environmental Engineering is the branch which is most needed today and for the future because we have so many environmental challenges. Lets look at this field
Weather Modeling – Scientists build simulated models to predict and forecast weather based on Maths and Physics using Computer Algorithm
Remote Sensing – Many Researchers are using Remote Sensing tools to help farmers with rain patterns and soil moisture analysis. These computer models tell farmers when to add water to soil based on computer data thus saving water.
Air Quality Monitoring – Several Scientists are working on building low cost and robust Air Quality monitoring tools which use power of computers to quantitatively estimate the extent of pollution based on chemical composition of Air.
Oil Spills – As we are all aware one of the biggest threats to Marine life is the Oil Spills due to offshore oil extraction. Many gas companies employ Geo-Statisticians to predict the path of oil spills once they occur to take quick corrective action


How do I switch my job profile from a business analyst to machine learning engineer without a master’s degree?|If you have been a business analyst, you should be able to pick up data science as a career because most companies now capture data and you can request an internal transfer to data science after learning basic concepts.Machine learning is an extension of data science where you build models to predict the future based on supervised or unsupervised learning. You can also use Kaggle to download data and use R programming to create some simple statistical models to play around with data science.

What is the difference between artificial intelligence and software engineering?|AI comes under the larger Software Engineering umbrella, because AI is another example of software engineering which is like an Artificial Brain.AI uses the principles of software engineering, which is algorithmic design to make scalable models based on computer programming principles

What are the opportunities for commerce student in data science?|Data Science is nothing but statistics applied on real data to make decisions. And when those decisions relate to business or consumer behavior/psychology , it becomes commerce and economics.More and more companies are hiring data scientists with commerce background because they are more economics focused and using data, can help arrive at key decisions. Companies like Amazon and Google hire lots of data scientists with economics background to make sense of humungous amounts of data to uncover new business opportunities, customer trends and incentivize buying

What are the career options after a Bachelor’s of Social Work (BSW or B.A. (SW)?|Most Social work jobs require a Masters degree especially if you are looking to grow in the social sector. The biggest scope today for social jobs is in corporations who hire CSR professionals (Corporate Social Responsibility) to work with NGOs and divert corporate funds to these NGOs to achieve corporate social objectives.Corporates hire masters degree holders and the demand is growing. Also if you have a masters degree you have a good scope to take up jobs in global organizations like UN, UNICEF etc

I am passionately curious for science but I love Law, which career should I choose after 12th?|You should take up a career in Patents and IP. Most Pharma and Manufacturing companies doing research need the services of a patent professional to help protect the IP and help commercialize the research. For that they need patent professionals who have a solid science background and exposure to patent law to understand how the technology can be protected from infringement and also the complex details of underlying technology.

Which one should I choose for higher studies, an MBA in finance or MBA in digital marketing? Whose scope is wider, which one gets higher paid, and which one is demanding?|Ofcourse an MBA in Finance has a much wider scope but requires a solid foundation to get good jobs. A Finance MBA can open many doors in corporates in Treasury, Risk Management, Financial Analysis, Equity Research etc. But it requires very good Analytical/Quant Skills backed by solid internships in relevant areas to understand where your interests lie.Digital Marketing, on the other hand, doesnt really require an MBA because its a much narrower field and there are many opportunities to learn it on your own or through a short-term course. Though it has a lot of potential, there is a lot of competition as well and you need to have very strong practical knowledge in the area related to web analytics, online ads, Adsense/Adwords, SEO, SEM, PPC etc.In the long run a finance degree will take you ahead as long as you have strong foundations. But if you were to ask me which is tougher to pursue, it would be Finance because jobs are rare and choosy.Finance will be higher paid because there is more demand for finance jobs though skill supply is less!


Why do most Indians go abroad for research while we have some premium institutions in the world?|If you compare the ratio of premium institutions in India to the number of research professionals relative to the same ratio in US or Europe, India will have a pretty low ratio.Because the number of premium Institutions (IISc, IISER, TIFR, NCBS etc) are very low in number relative to the ones abroad.

 
What is exactly done in data journalism?|To explain to you let met me take an example of our prime minister Narendra Modi.For the last one year there have been lots of debates on his global travel schedule and also its impact on FDI (Foreign Direct Investments). Some say he travels a lot which costs the exchequer and some say it benefits the country. As you can see there is a lot of subjectivity in the news reported . So how can we make the analysis much more data driven and factual.Lets say the journalist decided to investigate this. First by extracting all the travel data of the PM from last one year and clean the data so that they can tabulate it and determine exactly how long the PM travelled in a year. Now they can conclude clearly, based on factual flight data, that PM travelled say 80% of the whole year.Now the next question. How can we determine if the travel benefitted the country. Data helps again. Lets say we try to determine if any major deal was signed between India and a country that PM travelled to in the last 6 months. That duration helps correlate the deal with PM travel.Now looking at data we can say that PM travel did not have effect on deals signed.So data journalism removes subjectivity from news and makes it more factual and accurate as long as we treat the data properly. Data Journalism requires good skills in number crunching, interpretation and statistics.

 
What type of scientists are accepted at CERN?|CERN is very well known for Particle Physics. Its a pure science track focused on discovery of new frontiers in space and its origins.So if you are interested in pure science you should aim for a PhD track in good schools since many of them have tie up with CERN where you can do internships and then switch to a long term track.

What does one do after a degree in liberal arts in India?|The entire world of careers is divided into – Engineering, Medical, Commerce or Arts. And of course, the third option is seldom considered a career ! And even if it is considered a serious career the assumption is that one must be very good at drawing or painting or designing ! If it is Arts, it must be about creativity!!! However, nothing can be further from the truth.


Which engineering branch and its subject content match more with the metallurgy and materials science?|First thing one needs to understand is, material science is a larger umbrella under which metallurgy and materials engineering comes.That is,materials science is a study about materials across all disciplines including physics, chemistry and biology. Metallurgy relates to metals and alloys and their applications in various industries.Engineering and specifically metallurgical and materials engineering focuses on designing and manufacturing materials for industries like aeronautics, space, automobile etc.So if you are interested in applications of materials science in engineering go for materials engineering or metallurgical engineering.

How can I choose my career after class 12?| I am a student of science.To answer this question you need to think of different roles of science which benefit the society and which role you fit in:Research – The starting point of science life cycle which results in a discovery(pure science) or invention(applied science). This is very technical and requires very good academic skills in maths/physics/chemistry/biology
Engineering – Building products based on applied research and restricted to specific areas (mechanical/electrical/computers etc) and is the most common today. Again this is a technical role
Science Communication- You can be a science journalist communicating the wonders of science in simple layman terms to the common man. This is techno-functional role which enables to look at science at a high level
Science Policy – You want to use your knowledge to catalyze a positive impact on the world. You want to drive change using science through policy. This requires to work with govt and show them the big picture. For eg; how can a nation adopt nuclear energy and completely replace fossil fuels.
Patent Law – You want to protect scientific inventions and bring the results of science into fruition by drafting IP and Patent documents for researchers

What career option would be the best in today’s world after doing PCM in 11th and 12th?|After doing PCM you have basically 2 options
Engineering – The standard path everyone chooses.
Sciences – Enroll for a BSc (Physics or Chemistry or Maths) and then go for pure sciences or applied science research
Both the options could converge at a later stage if you choose to. Otherwise you can continue in research
Physics (Research) 
Photonics
Material Physics
Plasma Physics
GeoPhysics
Chemistry (Research) 
Pharma/Drugs
Food & Beverage
Cosmetics
Environmental Chemistry
Maths (Research) 
Actuary
Financial Mathematics
Animation
Applied Mathematics
GeoPhysics
Data Science
Climatologist

Can I do engineering if I have the 12th passed in PCB? If yes, can you tell me the scopes and benefits?|Yes you can opt for a very interesting careers such as BioMedical engineering and medical physics. This stream is the application of physics to solve biological problems.BioMedical engineering has a huge potential in the future in teh following areas.Artificial organs and regenerative techniques using tissue engineering and other cutting edge technologies
Medical diagnostic devices and equipment for disease scanning like MRI, CT-Scans. You will work on developing new scanning devices using physics concepts
Please look at several interviews of BioMedical engineers to see their career paths


How can I choose my career path in medical?|There is a very common misconception that the only path available in medical is becoming a doctor. Here are several other options. I have also added links to interviews from professionals in each field about their careers.Biomedical Professional. Area related to artificial organs, tissue regeneration and prosthetics. Designing and building devices that mimic human organs. 
Medical Physics. We have several equipments around us in a hospital. Whether it is a sonogram or X-ray machine or an ECG these are all marvels of medical physics. 
Disease research. A doctor can only save one life at a time. However biotechnologists, microbiologists and biochemists can save millions of lives by diagnosing disease causing organisms and developing cure for these diseases much before it reaches a doctor. 
Geneticist – Interested in Next generation Sequencing or unlocking the genetic code? Work on developing personalised cures for every individual by understanding their gene structure . A great combination of biology and computers. Its also called BioInformatics. 
BioStatistics- Clinical trials require processing huge amounts of historical data to identify how a drug affects a large population across age, culture, geography and gender. Biostatistics involves a combination of biology, maths and statistics to study trends and patterns that help in clinical trials. 
Doctor – A front end professional who is very talented but gets a lot of credit because of better visibility

Being a fresher and a pass out in 2018 batch, will I get a job if I do any data science certification course?|Data Science is extremely application oriented. It requires a good bit of domain knowledge coupled with data analysis and statistical skills. While the technical aspects can be learnt (statistics) the application part requires considerable experience working in the industry.Remember, Data Science is not just about number crunching. There are many professionals as well as technologies that will slice and dice data and calculate computational models based on data, but the industry needs people who can interpret the data and make recommendations.
So as a fresher you can take a lot of courses. But unless you work as an intern in a company that uses data science you wont learn the art of performing data analysis, interpreting the results and making intelligent recommendations.The science can be learnt, the Art has to be experienced !
Design- You can get into industrial design (Cars, Bikes, Consumer electronics etc), Graphic Design (Magazines, Logos etc), Transport design or fashion design 
Architecture/Urban Planner – There is s huge need for city architects , building architects and conservation architects who have a big picture view 
Journalist/Tech Writers – You can combine your love for subjects (Arts.Sports,Science etc) with writing and become a journalist.
Statistician – Another multi-Disciplinary subject which applies numbers (Maths/Statistics) to research diseases (Biology), Sports (Cricket/Football/Tennis etc), entertainment (Box-office nos), Insurance Pricing (Actuary), Data Scientist 
Food and Beverages – You can specialise in Food and Beverage using a degree in Microbiology/Biochemistry especially Beer making, Wine making or Cheese making – Food and Beverages
Disease Research – Microbiology degree will help you specialise in disease research for cancer, aids etc 
Agriculture and Farming – Work on cutting edge research that helps industry build technologies to bring additional food to the evergrowing population 
Arts – Work as an Art Curator, Conservator or Restorer if you have a liking for Art 
Entertainment – Animation, Illustration or comic drawing if you want to combine your talent for drawing with movies 
Environment – You can also become a Geologist or Marine Biologist or Climatologist to get involved in conservation of the planet 
Pure Sciences – If you interested in maths or physics or chemistry or biology you can pursue pure science research 
Hospitality – Hotel management or chef or molecular gastronomist is another area 
Economics – If you love numbers and human psychology you can specialize in economics 
